title,artist,date,category,medium,id,url,image
Nu Sentado,Anita Malfatti,;,Desenho,grafite sobre papel,20073,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20073,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/2/0/90614_ca_object_representations_media_2053_large.jpg
Nu Deitado,Anita Malfatti,circa 1925;,Desenho,nanquim e grafite sobre papel,20072,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20072,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/5/8659_ca_object_representations_media_534_large.jpg
O Secretário da Escola ou Retrato de Bailey,Anita Malfatti,1915 – 1916;,Desenho,carvão sobre papel,20071,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20071,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/3/6/6090_ca_object_representations_media_3613_large.jpg
Objetoculto,Regina Silveira,1977;,Vídeo,"vídeo 1/2 pol., mudo, pb, 58''",20070,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20070,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/7/1/65972_ca_object_representations_media_7141_large.jpg
Artifício,Regina Silveira,1977;,Vídeo,"vídeo 1/2 pol., mudo, pb, 1'21''",20069,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20069,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/7/1/38592_ca_object_representations_media_7140_large.jpg
Campo,Regina Silveira,1977;,Vídeo,"vídeo 1/2 pol., mudo, pb, 2'33''",20068,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20068,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/7/1/82716_ca_object_representations_media_7139_large.jpg
Nós (Versão II),Gabriel Borba,1977;,Vídeo,"vídeo 1/2 pol., som, pb, 01'42''",33764,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/33764,
Me,Gabriel Borba,1977;,Vídeo,"vídeo 1/2 pol., som, pb, 4'11''",20067,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20067,
,Liliane Soffer,1977;,Vídeo,"vídeo 1/2 pol.,som, pb, 3'52",33763,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/33763,
Câmara Obscura,Julio Plaza,1977;,Vídeo,"vídeo 1/2 pol., som, pb, 4'05",20066,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20066,
O Circo,José Roberto Aguilar,1977;,Vídeo,"vídeo 1/2 pol., som, pb, 4'54",33762,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/33762,
Typology of my body,Gastão de Magalhães,1977;,Vídeo,"vídeo 1/2 pol., som, pb, 4'59",20065,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20065,
